id,domain,category,parameter,key,value,notes
1,enemy,minion_rock,stats,display_name,丢石头,
2,enemy,minion_rock,stats,max_hp,300,
3,enemy,minion_rock,stats,attack,1230,
4,enemy,minion_rock,stats,defense,1500,
5,enemy,minion_rock,stats,accuracy,37.5,
6,enemy,minion_rock,stats,evasion,11.2,
7,enemy,minion_rock,stats,pattern_cooldown,7.0,
8,enemy,minion_rock,skills,skill_1,rock_toss,
9,enemy,minion_bone,stats,display_name,丢骨头,
10,enemy,minion_bone,stats,max_hp,350,
11,enemy,minion_bone,stats,attack,820,
12,enemy,minion_bone,stats,defense,1200,
13,enemy,minion_bone,stats,accuracy,37.5,
14,enemy,minion_bone,stats,evasion,11.2,
15,enemy,minion_bone,stats,pattern_cooldown,7.0,
16,enemy,minion_bone,skills,skill_1,bone_throw,
17,enemy,minion_shuriken,stats,display_name,丢飞镖,
18,enemy,minion_shuriken,stats,max_hp,250,
19,enemy,minion_shuriken,stats,attack,1720,
20,enemy,minion_shuriken,stats,defense,1000,
21,enemy,minion_shuriken,stats,accuracy,37.5,
22,enemy,minion_shuriken,stats,evasion,11.2,
23,enemy,minion_shuriken,stats,pattern_cooldown,6.0,
24,enemy,minion_shuriken,skills,skill_1,shuriken_throw,
25,enemy,elite_fire_ice,stats,display_name,精英火冰,
26,enemy,elite_fire_ice,stats,max_hp,400,
27,enemy,elite_fire_ice,stats,attack,350,
28,enemy,elite_fire_ice,stats,defense,4000,
29,enemy,elite_fire_ice,stats,accuracy,55.0,
30,enemy,elite_fire_ice,stats,evasion,16.5,
31,enemy,elite_fire_ice,stats,pattern_cooldown,7.0,
32,enemy,elite_fire_ice,skills,skill_1,fireball_basic,
33,enemy,elite_fire_ice,skills,skill_2,ice_arrow,
34,enemy,elite_water_shuriken,stats,display_name,精英水镖,
35,enemy,elite_water_shuriken,stats,max_hp,450,
36,enemy,elite_water_shuriken,stats,attack,470,
37,enemy,elite_water_shuriken,stats,defense,3500,
38,enemy,elite_water_shuriken,stats,accuracy,55.0,
39,enemy,elite_water_shuriken,stats,evasion,16.5,
40,enemy,elite_water_shuriken,stats,pattern_cooldown,7.0,
41,enemy,elite_water_shuriken,skills,skill_1,water_wave,
42,enemy,elite_water_shuriken,skills,skill_2,scatter_shuriken,
43,enemy,elite_laser_burn,stats,display_name,精英激光,
44,enemy,elite_laser_burn,stats,max_hp,500,
45,enemy,elite_laser_burn,stats,attack,470,
46,enemy,elite_laser_burn,stats,defense,3000,
47,enemy,elite_laser_burn,stats,accuracy,55.0,
48,enemy,elite_laser_burn,stats,evasion,16.5,
49,enemy,elite_laser_burn,stats,pattern_cooldown,7.0,
50,enemy,elite_laser_burn,skills,skill_1,small_laser_beam,
51,enemy,elite_laser_burn,skills,skill_2,burning_hands,
52,enemy,boss_meteor_eye,stats,display_name,Boss陨石魔眼,
53,enemy,boss_meteor_eye,stats,max_hp,900,
54,enemy,boss_meteor_eye,stats,attack,680,
55,enemy,boss_meteor_eye,stats,defense,10000,
56,enemy,boss_meteor_eye,stats,accuracy,65.0,
57,enemy,boss_meteor_eye,stats,evasion,19.5,
58,enemy,boss_meteor_eye,stats,pattern_cooldown,9.0,
59,enemy,boss_meteor_eye,skills,skill_1,falling_meteor,
60,enemy,boss_meteor_eye,skills,skill_2,evil_eye_laser,
61,enemy,boss_meteor_eye,skills,skill_3,bubble_bomb_array,
