id,domain,category,parameter,key,value,notes
1,hero,ember,stats,display_name,Ember,
2,hero,ember,stats,max_hp,600,
3,hero,ember,stats,attack,750,
4,hero,ember,stats,defense,1111,
5,hero,ember,stats,accuracy,52,
6,hero,ember,stats,evasion,16,
7,hero,ember,stats,crit_rate,28,
8,hero,ember,stats,crit_power,45,
9,hero,ember,stats,stun_power,10,
10,hero,ember,skills,skill_1,fireball_basic,
11,hero,ember,skills,skill_2,ice_arrow,
12,hero,moss,stats,display_name,Moss,
13,hero,moss,stats,max_hp,600,
14,hero,moss,stats,attack,500,
15,hero,moss,stats,defense,2500,
16,hero,moss,stats,accuracy,50,
17,hero,moss,stats,evasion,15,
18,hero,moss,stats,crit_rate,10,
19,hero,moss,stats,crit_power,18,
20,hero,moss,stats,stun_power,10,
21,hero,moss,skills,skill_1,water_wave,
22,hero,moss,skills,skill_2,small_laser_beam,
23,hero,ironwall,stats,display_name,Ironwall,
24,hero,ironwall,stats,max_hp,600,
25,hero,ironwall,stats,attack,300,
26,hero,ironwall,stats,defense,6667,
27,hero,ironwall,stats,accuracy,48,
28,hero,ironwall,stats,evasion,14,
29,hero,ironwall,stats,crit_rate,8,
30,hero,ironwall,stats,crit_power,15,
31,hero,ironwall,stats,stun_power,18,
32,hero,ironwall,skills,skill_1,burning_hands,
33,hero,ironwall,skills,skill_2,falling_meteor,
