id,domain,category,parameter,key,value,notes
1,monster,rock_toss,damage,base_damage,15,怪物版丢石头
2,monster,rock_toss,damage,skill_coefficient,0.3,
3,monster,rock_toss,damage,growth_cap,99999,
4,monster,rock_toss,cooldown,cooldown,7.0,
5,monster,rock_toss,damage,damage_type,physical,
6,monster,bone_throw,damage,base_damage,18,怪物版丢骨头
7,monster,bone_throw,damage,skill_coefficient,0.35,
8,monster,bone_throw,damage,growth_cap,99999,
9,monster,bone_throw,cooldown,cooldown,7.0,
10,monster,bone_throw,damage,damage_type,physical,
11,monster,shuriken_throw,damage,base_damage,12,怪物版丢飞镖
12,monster,shuriken_throw,damage,skill_coefficient,0.25,
13,monster,shuriken_throw,damage,growth_cap,99999,
14,monster,shuriken_throw,cooldown,cooldown,6.0,
15,monster,shuriken_throw,damage,damage_type,physical,
16,monster,fireball_basic,damage,base_damage,30,怪物版火球（精英用）
17,monster,fireball_basic,damage,skill_coefficient,0.8,
18,monster,fireball_basic,damage,growth_cap,99999,
19,monster,fireball_basic,cooldown,cooldown,7.0,
20,monster,fireball_basic,damage,damage_type,elemental_fire,
21,monster,ice_arrow,damage,base_damage,18,怪物版冰箭（精英用）
22,monster,ice_arrow,damage,skill_coefficient,0.5,
23,monster,ice_arrow,damage,growth_cap,99999,
24,monster,ice_arrow,cooldown,cooldown,6.0,
25,monster,ice_arrow,damage,damage_type,elemental_ice,
26,monster,water_wave,damage,base_damage,22,怪物版水波（精英用）
27,monster,water_wave,damage,skill_coefficient,0.5,
28,monster,water_wave,damage,growth_cap,99999,
29,monster,water_wave,cooldown,cooldown,7.0,
30,monster,water_wave,damage,damage_type,physical,
31,monster,scatter_shuriken,damage,base_damage,20,怪物版散射手里剑（精英用）
32,monster,scatter_shuriken,damage,skill_coefficient,0.5,
33,monster,scatter_shuriken,damage,growth_cap,99999,
34,monster,scatter_shuriken,cooldown,cooldown,6.0,
35,monster,scatter_shuriken,damage,damage_type,physical,
36,monster,small_laser_beam,damage,base_damage,15,怪物版小激光（精英用）
37,monster,small_laser_beam,damage,skill_coefficient,0.4,
38,monster,small_laser_beam,damage,growth_cap,99999,
39,monster,small_laser_beam,cooldown,cooldown,6.0,
40,monster,small_laser_beam,damage,damage_type,physical,
41,monster,burning_hands,damage,base_damage,15,怪物版火焰之手（精英用）
42,monster,burning_hands,damage,skill_coefficient,0.4,
43,monster,burning_hands,damage,growth_cap,99999,
44,monster,burning_hands,cooldown,cooldown,7.0,
45,monster,burning_hands,damage,damage_type,elemental_fire,
46,monster,falling_meteor,damage,base_damage,20,怪物版陨石（Boss用）
47,monster,falling_meteor,damage,skill_coefficient,0.7,
48,monster,falling_meteor,damage,growth_cap,99999,
49,monster,falling_meteor,cooldown,cooldown,9.0,
50,monster,falling_meteor,damage,damage_type,physical,
51,monster,evil_eye_laser,damage,base_damage,15,怪物版魔眼激光（Boss用）
52,monster,evil_eye_laser,damage,skill_coefficient,0.5,
53,monster,evil_eye_laser,damage,growth_cap,99999,
54,monster,evil_eye_laser,cooldown,cooldown,8.0,
55,monster,evil_eye_laser,damage,damage_type,physical,
56,monster,bubble_bomb_array,damage,base_damage,20,怪物版泡泡炸弹（Boss用）
57,monster,bubble_bomb_array,damage,skill_coefficient,0.8,
58,monster,bubble_bomb_array,damage,growth_cap,99999,
59,monster,bubble_bomb_array,cooldown,cooldown,9.0,
60,monster,bubble_bomb_array,damage,damage_type,physical,
