id,domain,category,parameter,key,value,min,max,step,unit,notes
1,visual_presentation,v1_fx,camera,camera_shake_duration_light_ms,80,0,500,1,ms,Hero hit on enemy light attack
2,visual_presentation,v1_fx,camera,camera_shake_intensity_light,0.002,0,0.05,0.001,ratio,Phaser shake intensity scale
3,visual_presentation,v1_fx,camera,camera_shake_duration_heavy_ms,140,0,600,1,ms,Heavy/crit or boss hit
4,visual_presentation,v1_fx,camera,camera_shake_intensity_heavy,0.0045,0,0.08,0.0005,ratio,Stronger shake
5,visual_presentation,v1_fx,hit,hit_flash_duration_ms,70,0,300,1,ms,White flash on damaged unit rect/sprite
6,visual_presentation,v1_fx,hit,hit_flash_alpha_peak,0.55,0,1,0.05,ratio,Peak additive flash alpha
7,visual_presentation,v1_fx,hit,hitstop_ms_light,35,0,200,1,ms,Time scale dip for light hitstop
8,visual_presentation,v1_fx,hit,hitstop_time_scale_light,0.82,0.1,1,0.01,ratio,Scene time scale during hitstop
9,visual_presentation,v1_fx,hit,hitstop_ms_heavy,55,0,250,1,ms,Crit or ultimate-sized hit
10,visual_presentation,v1_fx,hit,hitstop_time_scale_heavy,0.72,0.1,1,0.01,ratio,Stronger slowdown
11,visual_presentation,v1_fx,vfx,ally_vfx_max_alpha,0.85,0,1,0.05,ratio,Clamp for ally skill VFX layers
12,visual_presentation,v1_fx,vfx,decorative_vfx_max_alpha,0.45,0,1,0.05,ratio,Background decoration cap
